name	games	sport	medal
Maryna Sviatoslavivna Proskurina	2008 Summer	Gymnastics	NA
Maryna Sviatoslavivna Proskurina	2008 Summer	Gymnastics	NA
Maryna Sviatoslavivna Proskurina	2008 Summer	Gymnastics	NA
Maryna Sviatoslavivna Proskurina	2008 Summer	Gymnastics	NA
Anastasiya Prosolova	2008 Summer	Rhythmic Gymnastics	NA
Yevgeniya Valeryevna Protsenko	2008 Summer	Water Polo	NA
Yanina Dislavovna Provalinskaya-Karolchik	2008 Summer	Athletics	NA
Jennifer "Jen" Provan	2008 Summer	Sailing	NA
Jaimee Sarah Provan-Claxton	2008 Summer	Hockey	NA
Dominique Provoyeur	2008 Summer	Sailing	NA
Tanyaporn Prucksakorn	2008 Summer	Shooting	NA
Tanyaporn Prucksakorn	2008 Summer	Shooting	NA
Aldo Pruna Daz	2008 Summer	Canoeing	NA
Aldo Pruna Daz	2008 Summer	Canoeing	NA
Oleksiy Viktorovych Pryhorov	2008 Summer	Diving	Bronze
Maryna Andrivna Pryshchepa	2008 Summer	Judo	NA
Evangelia Psarra	2008 Summer	Archery	NA
Adam Ptnk	2008 Summer	Cycling	NA
Adam Ptnk	2008 Summer	Cycling	NA
Pu Wei	2008 Summer	Football	NA
Tatyana Nikolayevna Puchek	2008 Summer	Tennis	NA
Edita Puinskait	2008 Summer	Cycling	NA
Edita Puinskait	2008 Summer	Cycling	NA
Buttree Puedpong	2008 Summer	Taekwondo	Silver
Geraldine Estefania Puertas Flores	2008 Summer	Softball	NA
Mara Jos Pueyo Bergua	2008 Summer	Athletics	NA
Joona Tapio Puhakka	2008 Summer	Diving	NA
Bernadette Pujals Cavallo	2008 Summer	Equestrianism	NA
Montserrat Pujol Joval	2008 Summer	Athletics	NA
Stanislav Yevgenyevich Pukhov	2008 Summer	Badminton	NA
Kubrat Venkov Pulev	2008 Summer	Boxing	NA
Halyna Vasylivna Pundyk	2008 Summer	Fencing	NA
Halyna Vasylivna Pundyk	2008 Summer	Fencing	Gold
Alexei Puninski	2008 Summer	Swimming	NA
Jorge Luis Pupo Carballo	2008 Summer	Diving	NA
Leuris Pupo Requejo	2008 Summer	Shooting	NA
Charmian Purcell	2008 Summer	Basketball	NA
Natalie Purcell (-Taylor)	2008 Summer	Basketball	NA
Zachary Jake Nicholas "Zac" Purchase	2008 Summer	Rowing	Gold
Prevdorjin Serdamba	2008 Summer	Boxing	Silver
Prevjargalyn Lkhamdegd	2008 Summer	Judo	NA
Rina Dewi Puspitasari	2008 Summer	Archery	NA
Aija Putnia	2008 Summer	Basketball	NA
Anna Viktorovna Pyatykh	2008 Summer	Athletics	NA
Nataliya Serhivna Pyhyda	2008 Summer	Athletics	NA
Nataliya Serhivna Pyhyda	2008 Summer	Athletics	NA
Nataliya Serhivna Pyhyda	2008 Summer	Athletics	NA
Monika Zofia Pyrek (-Rokita)	2008 Summer	Athletics	NA
Hanna Serhivna Pysmenska	2008 Summer	Diving	NA
Hanna Serhivna Pysmenska	2008 Summer	Diving	NA
Tatyana Pyurova	2008 Summer	Volleyball	NA
alva Qadabadze	2008 Summer	Wrestling	NA
Yousuf Othman Qader	2008 Summer	Athletics	NA
Aliy Qarayeva	2008 Summer	Rhythmic Gymnastics	NA
Ramil Qasmov	2008 Summer	Judo	NA
Kifayt Qasmova	2008 Summer	Judo	NA
Xetaq Qazyumov	2008 Summer	Wrestling	Bronze
Erkand Qerimaj	2008 Summer	Weightlifting	NA
Qi Haifeng	2008 Summer	Athletics	NA
Qi Hui	2008 Summer	Swimming	NA
Qi Hui	2008 Summer	Swimming	NA
Lian "Jenifer" Qian	2008 Summer	Table Tennis	NA
Lian "Jenifer" Qian	2008 Summer	Table Tennis	NA
Qian Zhenhua	2008 Summer	Modern Pentathlon	NA
Qiao Leiying	2008 Summer	Water Polo	NA
Qin Kai	2008 Summer	Diving	Bronze
Qin Kai	2008 Summer	Diving	Gold
Qin Wangping	2008 Summer	Athletics	NA
Qiong Maimaitituersun	2008 Summer	Boxing	NA
Qiu Jian	2008 Summer	Shooting	Gold
Qiu Jian	2008 Summer	Shooting	NA
Qiu Shengjiong	2008 Summer	Football	NA
Dina Qorina	2008 Summer	Rhythmic Gymnastics	NA
Qu Jingyu	2008 Summer	Swimming	NA
Qu Ridong	2008 Summer	Shooting	NA
Qu Xiaoming	2008 Summer	Rowing	NA
Ketleyn Lima Quadros	2008 Summer	Judo	Bronze
Quah Ting Wen	2008 Summer	Swimming	NA
Quah Ting Wen	2008 Summer	Swimming	NA
Megan M. Quann-Jendrick	2008 Summer	Swimming	NA
Megan M. Quann-Jendrick	2008 Summer	Swimming	Silver
Sam Austin Querrey	2008 Summer	Tennis	NA
Sam Austin Querrey	2008 Summer	Tennis	NA
Marianela Quesada	2008 Summer	Swimming	NA
Miguel Quesada Velasco	2008 Summer	Athletics	NA
Bruce James Quick	2008 Summer	Shooting	NA
Krizia Gheraldine Quijada Teran	2008 Summer	Volleyball	NA
Fausto Vicente Quinde Vizcano	2008 Summer	Athletics	NA
Trevell Marcell Quinley	2008 Summer	Athletics	NA
Mara Florencia Quines	2008 Summer	Football	NA
Jackson Amadeo Quionez Vernaza	2008 Summer	Athletics	NA
Gretchen Quintana Cordero	2008 Summer	Athletics	NA
Yandro Miguel Quintana Rivalta	2008 Summer	Wrestling	NA
Irache Quintanal Franco	2008 Summer	Athletics	NA
Giulia Quintavalle	2008 Summer	Judo	Gold
Alfredo Paolo Quinteros	2008 Summer	Basketball	Bronze
Rasmus Nicolai Quist Hansen	2008 Summer	Rowing	Bronze
Renny Quow	2008 Summer	Athletics	NA
Jahon Qurbanov	2008 Summer	Boxing	NA
Henry Raabe Mndez	2008 Summer	Cycling	NA
Anastasiya Volodymyrivna Rabcheniuk	2008 Summer	Athletics	NA
Mari Rabie	2008 Summer	Triathlon	NA
Marty Rabjohns	2008 Summer	Rowing	NA
Oleg Rabota	2008 Summer	Swimming	NA
Oleg Rabota	2008 Summer	Swimming	NA
Said Rachidi	2008 Summer	Boxing	NA
Delphine Jeanine Annie Racinet-Reau	2008 Summer	Shooting	NA
Sergio Armando Rada Rodrguez	2008 Summer	Weightlifting	NA
Vilmos Radasics	2008 Summer	Cycling	NA
Paula Jane Radcliffe (-Lough)	2008 Summer	Athletics	NA
Luca Radeli	2008 Summer	Sailing	NA
Zdravko Radi	2008 Summer	Water Polo	NA
Andrey Radionov	2008 Summer	Swimming	NA
Ryan Ashley Radmanovich	2008 Summer	Baseball	NA
Lenka Radov-Zemanov	2008 Summer	Triathlon	NA
Agnieszka Roma Radwaska	2008 Summer	Tennis	NA
Agnieszka Roma Radwaska	2008 Summer	Tennis	NA
Svetlana Mikhaylovna Radzivil	2008 Summer	Athletics	NA
Christophe Raes	2008 Summer	Rowing	NA
Mrcio Rafael "Rafinha" Ferreira de Souza	2008 Summer	Football	Bronze
Kaleigh Rafter	2008 Summer	Softball	NA
Ragnheiur Ragnarsdttir	2008 Summer	Swimming	NA
Ragnheiur Ragnarsdttir	2008 Summer	Swimming	NA
riks Rags	2008 Summer	Athletics	NA
Nunzia Cinzia Ragusa	2008 Summer	Water Polo	NA
Mayumi Raheem	2008 Summer	Swimming	NA
Rustamhodza "Rustam" Rahimov	2008 Summer	Boxing	NA
Natalia Rahman	2008 Summer	Shooting	NA
Paul Nicholas Rahman	2008 Summer	Shooting	NA
Baya Rahouli	2008 Summer	Athletics	NA
Rajiv Kumar "Raju" Rai	2008 Summer	Badminton	NA
Iulian Raicea	2008 Summer	Shooting	NA
Iulian Raicea	2008 Summer	Shooting	NA
Zachary Scott "Zach" Railey	2008 Summer	Sailing	Silver
Guillaume Louis  Benoit Raineau	2008 Summer	Rowing	NA
Simone Raineri	2008 Summer	Rowing	Silver
Allar Raja	2008 Summer	Rowing	NA
Andres Raja	2008 Summer	Athletics	NA
Matti Rajakyl	2008 Summer	Swimming	NA
Matti Rajakyl	2008 Summer	Swimming	NA
Slobodan Rajkovi	2008 Summer	Football	NA
Erik Rajohnson	2008 Summer	Swimming	NA
Sanjeev Rajput	2008 Summer	Shooting	NA
Sanjeev Rajput	2008 Summer	Shooting	NA
Zamira Alimradovna Rakhmanova	2008 Summer	Wrestling	NA
Oksana Yevgenyevna Rakhmatulina (Anufrieva-)	2008 Summer	Basketball	Bronze
ore Raki	2008 Summer	Football	NA
Beta Rakonczai	2008 Summer	Athletics	NA
Andy Ram	2008 Summer	Tennis	NA
Hendrick Ramaala	2008 Summer	Athletics	NA
Amin Ramadan	2008 Summer	Rowing	NA
Mohamed Ibrahim Ramadan	2008 Summer	Handball	NA
Samah Ramadan Mohamed	2008 Summer	Judo	NA
Samson Ramadhani Nyonyi	2008 Summer	Athletics	NA
Murad Ramazanov	2008 Summer	Wrestling	NA
Pascal Rambeau	2008 Summer	Sailing	NA
Aissam Rami	2008 Summer	Fencing	NA
Nirinaharifidy Ramilijaona	2008 Summer	Athletics	NA
Ramires Santos do Nascimento	2008 Summer	Football	Bronze
Daim D. Ramrez Echevarra	2008 Summer	Volleyball	NA
Federico Ramrez Mndez	2008 Summer	Cycling	NA
Ruben Ramolefi	2008 Summer	Athletics	NA
Arantxa Ramos Placensia	2008 Summer	Swimming	NA
Fabiola Isabel Ramos Portillo	2008 Summer	Table Tennis	NA
Jos Giovanni Ramos	2008 Summer	Canoeing	NA
Jos Giovanni Ramos	2008 Summer	Canoeing	NA
Juan Antonio Ramos Snchez	2008 Summer	Taekwondo	NA
Isabelle Rampling	2008 Summer	Synchronized Swimming	NA
Rashid Mohamed Ramzi (Khoula-)	2008 Summer	Athletics	NA
Ivn Raa Fuentes	2008 Summer	Triathlon	NA
Mohammed Rubel Rana	2008 Summer	Swimming	NA
Muhammad Asif Rana	2008 Summer	Hockey	NA
Pawe Rafa Rada	2008 Summer	Rowing	Silver
Emma Randall (-McDonald)	2008 Summer	Basketball	Silver
Jenna Margaret Randall	2008 Summer	Synchronized Swimming	NA
Robin Randall	2008 Summer	Water Polo	NA
Joseph-Berlioz Randriamihaja	2008 Summer	Athletics	NA
Nina Georgieva Rangelova	2008 Summer	Swimming	NA
Kevin Victoria Eddy Rans	2008 Summer	Athletics	NA
Sunitha Rao	2008 Summer	Tennis	NA
Micha Jacek Rapcewicz	2008 Summer	Equestrianism	NA
Ole Gabriel Rasch	2008 Summer	Cycling	NA
Essa Ismail Rashed	2008 Summer	Athletics	NA
Abdul Rashid	2008 Summer	Athletics	NA
Alex Nicki Rasmussen	2008 Summer	Cycling	Silver
Alex Nicki Rasmussen	2008 Summer	Cycling	NA
Jonas Rasmussen	2008 Summer	Badminton	NA
Juliane Elander Rasmussen	2008 Summer	Rowing	NA
Mads Reinholdt Rasmussen (-Kirke)	2008 Summer	Rowing	Bronze
Tine Rasmussen Baun	2008 Summer	Badminton	NA
Sisilia Naisiga Rasokisoki	2008 Summer	Judo	NA
Shafqat Rasool	2008 Summer	Hockey	NA
Christopher "Chris" Rast	2008 Summer	Sailing	NA
Aleksey Petrovich Rastvortsev	2008 Summer	Handball	NA
Elshod Yunusovich Rasulov	2008 Summer	Boxing	NA
Rafa Daniel Ratajczyk	2008 Summer	Cycling	NA
Martina "Martinka" Ratej	2008 Summer	Athletics	NA
Rajyavardhan Singh Rathore	2008 Summer	Shooting	NA
Anuruddha Bandara Ratnayake	2008 Summer	Boxing	NA
Okka Rau (-Schmeckenbecher)	2008 Summer	Beach Volleyball	NA
Ronald Rauhe	2008 Summer	Canoeing	Silver
Cdric Ravanel	2008 Summer	Cycling	NA
Jean Mickal Raymond	2008 Summer	Boxing	NA
Mathias Raymond	2008 Summer	Rowing	NA
Ihor Anatoliyovych Razoronov	2008 Summer	Weightlifting	NA
Virginie Razzano	2008 Summer	Tennis	NA
Virginie Razzano	2008 Summer	Tennis	NA
Nikola Raen	2008 Summer	Water Polo	Bronze
Shanaze Danielle Reade	2008 Summer	Cycling	NA
Julian Real	2008 Summer	Water Polo	NA
Tiziana Realini	2008 Summer	Equestrianism	NA
Brady Reardon	2008 Summer	Canoeing	NA
Omar Rebahi	2008 Summer	Judo	NA
Carla Rebecchi	2008 Summer	Hockey	Bronze
Davide Rebellin	2008 Summer	Cycling	NA
Vira Viktorivna Rebryk	2008 Summer	Athletics	NA
Elise Maree Rechichi	2008 Summer	Sailing	Gold
Rob Reckers	2008 Summer	Hockey	NA
Xavier Reckinger	2008 Summer	Hockey	NA
Michael Wesley Redd	2008 Summer	Basketball	Gold
Shawn Michael Redhage	2008 Summer	Basketball	NA
Gary Thomas Reed	2008 Summer	Athletics	NA
Jennie Idell Reed (-Madden)	2008 Summer	Cycling	NA
Kate Amelia Reed	2008 Summer	Athletics	NA
Matthew John "Matty" Reed	2008 Summer	Triathlon	NA
Peter "Pete" Reed	2008 Summer	Rowing	Gold
Shane Reed	2008 Summer	Triathlon	NA
Brittney Davon Reese	2008 Summer	Athletics	NA
Shayne Leanne Reese	2008 Summer	Swimming	Bronze
Shayne Leanne Reese	2008 Summer	Swimming	Gold
Aishath Reesha	2008 Summer	Athletics	NA
Louisa Reeve	2008 Summer	Rowing	NA
Louisa Reeve	2008 Summer	Rowing	NA
Anastasija "Nastja" Reiberger (Ryzhikh-)	2008 Summer	Athletics	NA
Florian Reichstdter	2008 Summer	Sailing	NA
Leslie Reid	2008 Summer	Equestrianism	NA
Leslie Reid	2008 Summer	Equestrianism	NA
Samantha Lee Reid	2008 Summer	Synchronized Swimming	NA
Antonio Manuel Reina Ballesteros	2008 Summer	Athletics	NA
Katrin Reinert	2008 Summer	Rowing	NA
Nicole Reinhardt	2008 Summer	Canoeing	NA
Nicole Reinhardt	2008 Summer	Canoeing	Gold
Christopher Michael "Chris" Reitsma	2008 Summer	Baseball	NA
Christian Reitz	2008 Summer	Shooting	Bronze
Benjamin "Ben" Remocker	2008 Summer	Sailing	NA
Ren Chengyuan	2008 Summer	Cycling	NA
Ren Jie	2008 Summer	Shooting	NA
Ren Qi	2008 Summer	Volleyball	NA
Ren Ye	2008 Summer	Hockey	Silver
Thierry Renaer	2008 Summer	Hockey	NA
Renan Brito Soares	2008 Summer	Football	Bronze
Renata Trevisan Martins Ribeiro	2008 Summer	Beach Volleyball	NA
Ana Mara Rendn Martnez	2008 Summer	Archery	NA
Ana Mara Rendn Martnez	2008 Summer	Archery	NA
James Aurelio Rendn Villegas	2008 Summer	Athletics	NA
Flora Rendoumi	2008 Summer	Athletics	NA
Lachlan "Lach" Renshaw	2008 Summer	Athletics	NA
Ana Patrcia Robert de Oliveira Rente	2008 Summer	Trampolining	NA
Jackeline Rentera Castillo	2008 Summer	Wrestling	Bronze
Robert Peter "Robbie" Renwick	2008 Summer	Swimming	NA
Robert Peter "Robbie" Renwick	2008 Summer	Swimming	NA
Daniel Repacholi	2008 Summer	Shooting	NA
Daniel Repacholi	2008 Summer	Shooting	NA
Jozef Repk	2008 Summer	Athletics	NA
Roline Virginie Repelaer van Driel	2008 Summer	Rowing	Silver
Georgios Reppas	2008 Summer	Water Polo	NA
Vasileios Reppas	2008 Summer	Cycling	NA
Vasileios Reppas	2008 Summer	Cycling	NA
Yurema Requena Jurez	2008 Summer	Swimming	NA
Nikolaus "Niko" Resch	2008 Summer	Sailing	NA
Alessandra Nobre Resende	2008 Summer	Athletics	NA
Bernardo Cardoso Resende Alves	2008 Summer	Equestrianism	NA
Bernardo Cardoso Resende Alves	2008 Summer	Equestrianism	NA
Ryan Reser	2008 Summer	Judo	NA
Lize-Mari Retief	2008 Summer	Swimming	NA
Lize-Mari Retief	2008 Summer	Swimming	NA
Lize-Mari Retief	2008 Summer	Swimming	NA
Lize-Mari Retief	2008 Summer	Swimming	NA
Patricia Rtiz Gutirrez	2008 Summer	Athletics	NA
Mariano Daniel Reutemann	2008 Summer	Sailing	NA
Xavier Revil	2008 Summer	Sailing	NA
Irak'li Revishvili	2008 Summer	Swimming	NA
Mara Revuelto Snchez Aguilera	2008 Summer	Basketball	NA
Belinda Kim Rew	2008 Summer	Sailing	NA
Julio Rey de Paz	2008 Summer	Athletics	NA
Cristin Eduardo Reyes Troncoso	2008 Summer	Athletics	NA
Felipe Reyes Cabaas	2008 Summer	Basketball	Silver
Manuel Reynaert	2008 Summer	Athletics	NA
Hjrtur Mr Reynisson	2008 Summer	Swimming	NA
Kristina Joana Reynolds	2008 Summer	Hockey	NA
Ghasem Gholamreza Rezaei	2008 Summer	Wrestling	NA
Rachid Rguig	2008 Summer	Judo	NA
Eoin Rheinisch	2008 Summer	Canoeing	NA
Adnan Al-Rhimi	2008 Summer	Wrestling	NA
Jennifer L. "Jen" Rhines	2008 Summer	Athletics	NA
Kimberly Susan "Kim" Rhode (-Harryman)	2008 Summer	Shooting	Silver
Ben Christopher Rhodes	2008 Summer	Sailing	NA
Camal Rhimov	2008 Summer	Equestrianism	NA
Vitaliy Rhimov	2008 Summer	Wrestling	Silver
Ri Chol-Guk	2008 Summer	Table Tennis	NA
Ri Kum-Song	2008 Summer	Athletics	NA
Ri Kum-Suk	2008 Summer	Football	NA
Ri Kyong-Sok	2008 Summer	Weightlifting	NA
Tadanari (Chung-Sung-) Ri (Lee-)	2008 Summer	Football	NA
Ri Un-Gyong	2008 Summer	Football	NA
Ri Un-Suk	2008 Summer	Football	NA
Xavier Ribas Centelles	2008 Summer	Hockey	Silver
Felipe Ribeiro	2008 Summer	Handball	NA
Nuno Jorge Gaspar Ribeiro	2008 Summer	Cycling	NA
Christophe Riblon	2008 Summer	Cycling	NA
Christophe Riblon	2008 Summer	Cycling	NA
Ricardo Alex Costa Santos	2008 Summer	Beach Volleyball	Bronze
Alberto Ricchetti	2008 Summer	Canoeing	NA
Anna Kathleen Rice	2008 Summer	Badminton	NA
Stephanie Louise "Steph" Rice	2008 Summer	Swimming	Gold
Stephanie Louise "Steph" Rice	2008 Summer	Swimming	Gold
Stephanie Louise "Steph" Rice	2008 Summer	Swimming	Gold
Ziad Richa	2008 Summer	Shooting	NA
Odette Richard	2008 Summer	Rhythmic Gymnastics	NA
Sanya Richards-Ross	2008 Summer	Athletics	Bronze
Sanya Richards-Ross	2008 Summer	Athletics	Gold
Helen Richardson-Walsh	2008 Summer	Hockey	NA
Kathrin Louise "Kate" Richardson-Walsh	2008 Summer	Hockey	NA
Anja Richter-Libiseller	2008 Summer	Diving	NA
Brenton Scott Rickard	2008 Summer	Swimming	NA
Brenton Scott Rickard	2008 Summer	Swimming	Silver
Brenton Scott Rickard	2008 Summer	Swimming	Silver
Sven Riederer	2008 Summer	Triathlon	NA
Linn-Kristin Ullevoldster Riegelhuth Koren	2008 Summer	Handball	Gold
Maribel del Carmen Riera	2008 Summer	Softball	NA
Mara Romary Rifka Gonzlez	2008 Summer	Athletics	NA
Flavia Rigamonti	2008 Summer	Swimming	NA
Flavia Rigamonti	2008 Summer	Swimming	NA
Elisa Rigaudo	2008 Summer	Athletics	Bronze
Anne Maria Kristiina Rikala	2008 Summer	Canoeing	NA
Anne Maria Kristiina Rikala	2008 Summer	Canoeing	NA
Joshua Riker-Fox	2008 Summer	Modern Pentathlon	NA
Alexandra Lowe "Ali" Riley	2008 Summer	Football	NA
Nina Kathy Rillstone	2008 Summer	Athletics	NA
Michael John Rimmer	2008 Summer	Athletics	NA
Donata Rimait	2008 Summer	Modern Pentathlon	NA
Roger Rinderknecht	2008 Summer	Cycling	NA
Teddy Pierre-Marie Riner	2008 Summer	Judo	Bronze
Fanny Rinne	2008 Summer	Hockey	NA
Pandelela Rinong anak Pamg	2008 Summer	Diving	NA
Jos Ros Ortega	2008 Summer	Athletics	NA
Nancy Damian Rios	2008 Summer	Sailing	NA
Jacques Riparelli	2008 Summer	Athletics	NA
Rebecca "Bec" Rippon	2008 Summer	Water Polo	Bronze
Melissa "Mel" Rippon	2008 Summer	Water Polo	Bronze
Juan Romn Riquelme	2008 Summer	Football	Gold
Jeffrey "Jeff" Riseley	2008 Summer	Athletics	NA
Irina Risenzon	2008 Summer	Rhythmic Gymnastics	NA
Bruno Risi	2008 Summer	Cycling	NA
Mihajlo Ristovski	2008 Summer	Swimming	NA
Michal Riszdorfer	2008 Summer	Canoeing	Silver
Richard Riszdorfer	2008 Summer	Canoeing	Silver
Ariel Cevans Rittenhouse	2008 Summer	Diving	NA
Dathan James Ritzenhein	2008 Summer	Athletics	NA
Eddy Riva	2008 Summer	Athletics	NA
scar Andrs Rivas Torres	2008 Summer	Boxing	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Luis Rivera Rivera	2008 Summer	Gymnastics	NA
Marcos Rivera Miranda	2008 Summer	Swimming	NA
Claudia Rivero Modenesi	2008 Summer	Badminton	NA
Mary Antoinette "Toni" Rivero	2008 Summer	Taekwondo	NA
Brbara Catalina Riveros Daz	2008 Summer	Triathlon	NA
Megan Rivers	2008 Summer	Hockey	NA
Neta Rivkin	2008 Summer	Rhythmic Gymnastics	NA
Mariette Rix	2008 Summer	Hockey	NA
Monder Rizki	2008 Summer	Athletics	NA
Dina Rizzo	2008 Summer	Hockey	NA
Melanie Roach	2008 Summer	Weightlifting	NA
Justine Gail Robbeson	2008 Summer	Athletics	NA
Ulrich Dimitri Robeiri	2008 Summer	Fencing	NA
Ulrich Dimitri Robeiri	2008 Summer	Fencing	Gold
Mlina Robert-Michon	2008 Summer	Athletics	NA
Kate "Katie" Roberts	2008 Summer	Triathlon	NA
Luke Justin Roberts	2008 Summer	Cycling	NA
Niall Roberts	2008 Summer	Swimming	NA
Niniwa Kiri Rata "Nin" Roberts-Lang	2008 Summer	Hockey	NA
Michael Robertson	2008 Summer	Athletics	NA
Nathan James Robertson	2008 Summer	Badminton	NA
Scott Stephen Robertson	2008 Summer	Diving	NA
Christopher J. "Chris" Robinson	2008 Summer	Baseball	NA
Clint David Robinson	2008 Summer	Canoeing	NA
Clint David Robinson	2008 Summer	Canoeing	NA
Daniel Stephen Rowley "Dan" Robinson	2008 Summer	Athletics	NA
Donald "Donny" Robinson	2008 Summer	Cycling	Bronze
Jodi-Ann Robinson	2008 Summer	Football	NA
Nicholas "Nick" Robinson-Baker	2008 Summer	Diving	NA
Dayron Robles Planes	2008 Summer	Athletics	Gold
Tommy Robredo Garcs	2008 Summer	Tennis	NA
Tommy Robredo Garcs	2008 Summer	Tennis	NA
Albert Rocas Comas	2008 Summer	Handball	Bronze
Tommaso Rocchi	2008 Summer	Football	NA
Federica Rocco	2008 Summer	Water Polo	NA
Melanie Jane Roche	2008 Summer	Softball	Bronze
Nicholas Roche	2008 Summer	Cycling	NA
Yann Rocherieux	2008 Summer	Sailing	NA
Ika Yuliana Rochmawati	2008 Summer	Archery	NA
Olivier Laurent Pierre Rochus	2008 Summer	Tennis	NA
Olivier Laurent Pierre Rochus	2008 Summer	Tennis	NA
Michael Paul Rock	2008 Summer	Swimming	NA
Michael Paul Rock	2008 Summer	Swimming	NA
Michael Paul Rock	2008 Summer	Swimming	NA
Luis Ren Rodas Medina	2008 Summer	Football	NA
Valery Cheslavovich Rodevich	2008 Summer	Rowing	NA
Marion Rodewald	2008 Summer	Hockey	NA
Beth Clare Rodford	2008 Summer	Rowing	NA
Rodrigo "Rodrigo" Santana	2008 Summer	Volleyball	Silver
Alexandre "Al" Rodrigues da Silva	2008 Summer	Handball	NA
Danny Pinheiro Rodrigues	2008 Summer	Gymnastics	NA
Danny Pinheiro Rodrigues	2008 Summer	Gymnastics	NA
Danny Pinheiro Rodrigues	2008 Summer	Gymnastics	NA
Danny Pinheiro Rodrigues	2008 Summer	Gymnastics	NA
Danny Pinheiro Rodrigues	2008 Summer	Gymnastics	NA
Helena Isabel Neves Reinold Rodrigues	2008 Summer	Canoeing	NA
Joo Filipe Gaspar Rodrigues	2008 Summer	Sailing	NA
Amy Joy Rodriguez (-Shilling)	2008 Summer	Football	Gold
ngel David Rodrguez Garca	2008 Summer	Athletics	NA
ngel David Rodrguez Garca	2008 Summer	Athletics	NA
Anthony Rodriguez	2008 Summer	Judo	NA
Bernardo "Berni" Rodrguez Arias	2008 Summer	Basketball	Silver
Carol Ann Rodrguez Taylor	2008 Summer	Athletics	NA
Carol Ann Rodrguez Taylor	2008 Summer	Athletics	NA
Disney Rodrguez Valera	2008 Summer	Wrestling	NA
Dulce Mara Rodrguez de la Cruz	2008 Summer	Athletics	NA
Gabriel Rodrguez	2008 Summer	Canoeing	NA
Gabriel Rodrguez	2008 Summer	Canoeing	NA
Irina Rodrguez lvarez	2008 Summer	Synchronized Swimming	Silver
Jackson Jess Rodrguez Ortz	2008 Summer	Cycling	NA
Juan Andrs Rodrguez Silva	2008 Summer	Equestrianism	NA
Luis Miguel Rodrguez Ricardo	2008 Summer	Baseball	Silver
Mayles Mara Rodrguez Prez	2008 Summer	Softball	NA
Natalia Rodrguez Martnez	2008 Summer	Athletics	NA
Zudikey Rodrguez Nez	2008 Summer	Athletics	NA
Markus Antonius Rogan	2008 Summer	Swimming	NA
Markus Antonius Rogan	2008 Summer	Swimming	NA
Markus Antonius Rogan	2008 Summer	Swimming	NA
Matthew Dylan "Matt" Rogelstad	2008 Summer	Baseball	NA
Pierre Roger	2008 Summer	Swimming	NA
Chloe Naomi Rogers	2008 Summer	Hockey	NA
Jason Nicholas Rogers	2008 Summer	Fencing	NA
Jason Nicholas Rogers	2008 Summer	Fencing	Silver
Michael Rogers	2008 Summer	Cycling	NA
Michael Rogers	2008 Summer	Cycling	NA
Michelle Rogers	2008 Summer	Judo	NA
Nicholas Robert "Nick" Rogers	2008 Summer	Sailing	Silver
Robert Hampton "Robbie" Rogers	2008 Summer	Football	NA
Todd Jonathan Rogers	2008 Summer	Beach Volleyball	Gold
Oliver Roggisch	2008 Summer	Handball	NA
Radoslav Rogina	2008 Summer	Cycling	NA
Anna Rogowska	2008 Summer	Athletics	NA
Vanja Rogulj	2008 Summer	Swimming	NA
Vanja Rogulj	2008 Summer	Swimming	NA
Xavier Charles Ren Rohart	2008 Summer	Sailing	NA
Julia Rohde (-Schwarzbach)	2008 Summer	Weightlifting	NA
Barbro Charlotte Rohlin	2008 Summer	Football	NA
Thomas Rohregger	2008 Summer	Cycling	NA
Stacy Roiall	2008 Summer	Shooting	NA
Andy Agustn Rojas Guevara	2008 Summer	Volleyball	NA
Rubilena Rojas Guerena	2008 Summer	Softball	NA
Nika Roki	2008 Summer	Swimming	NA
Nika Roki	2008 Summer	Swimming	NA
Micha Rokicki	2008 Summer	Swimming	NA
Emmanuelle Rol	2008 Summer	Sailing	NA
Philippa Kate Roles	2008 Summer	Athletics	NA
Pierre Rolland	2008 Summer	Cycling	NA
Jamial St. John Rolle	2008 Summer	Athletics	NA
Pascal Roller	2008 Summer	Basketball	NA
Elena Romagnolo	2008 Summer	Athletics	NA
Mara Romagosa Romagosa	2008 Summer	Hockey	NA
Ada Nabila Romn Arroyo	2008 Summer	Archery	NA
Angel Romn Martnez	2008 Summer	Taekwondo	NA
Sonja Roman	2008 Summer	Athletics	NA
Elpida Romantzi	2008 Summer	Archery	NA
Svetlana Alekseyevna Romashina	2008 Summer	Synchronized Swimming	Gold
Pyotr Romashkin	2008 Summer	Swimming	NA
Danny Reginald Rombley	2008 Summer	Baseball	NA
Hinrich Peter Romeike	2008 Summer	Equestrianism	Gold
Hinrich Peter Romeike	2008 Summer	Equestrianism	Gold
Darya Romenskaya	2008 Summer	Diving	NA
Oksana Viktorovna Romenskaya	2008 Summer	Handball	Silver
Ana Crysna da Silva Romero	2008 Summer	Swimming	NA
Diego Emilio Romero Paschetta	2008 Summer	Sailing	Bronze
Iker Romero Fernndez	2008 Summer	Handball	Bronze
